id,texto,servico,sentimento
569,"Em Nampula, a água chega suja e com mau cheiro. O serviço deve ser monitorado.",Água,Negativo
570,"Na Beira, a falta de água está a prejudicar as famílias. Esta é a realidade no terreno.",Água,Negativo
571,"Segundo alguns moradores, hoje tivemos electricidade estável durante todo o dia. A população comentou bastante sobre isso.",Electricidade,Positivo
572,"Em Maputo, a factura veio alta apesar de quase não termos água.",Água,Negativo
573,"Segundo alguns moradores, as paragens estão desorganizadas e cheias de confusão. O serviço deve ser monitorado.",Transportes,Negativo
574,"Em Nampula, foi registada uma ocorrência no posto de transformação. A população comentou bastante sobre isso.",Electricidade,Neutro
575,"Na minha zona, a iluminação pública foi reparada na nossa rua. É importante acompanhar.",Electricidade,Positivo
576,"Na minha zona, a equipa técnica está a avaliar uma possível fuga.",Água,Neutro
577,"Em Nampula, a iluminação pública continua avariada e a rua está perigosa.",Electricidade,Negativo
578,"Em Maputo, o transporte público esteve mais organizado esta manhã. A situação afecta muita gente.",Transportes,Positivo
579,"Sinceramente, a factura da água já se encontra disponível. A situação afecta muita gente.",Água,Neutro
580,"Na Beira, a melhoria dos transportes ajudou quem vai trabalhar cedo.",Transportes,Positivo
581,algumas rotas foram desviadas por causa das obras.,Transportes,Neutro
582,"Segundo alguns moradores, a corrente vai e volta várias vezes no mesmo dia. O serviço deve ser monitorado.",Electricidade,Negativo
583,"Na Beira, a pressão da água é muito fraca no bairro. Isto precisa de atenção.",Água,Negativo
584,"Na Beira, o preço da viagem foi mantido segundo o aviso oficial.",Transportes,Neutro
585,"Na Beira, os moradores aguardam reposição do abastecimento.",Água,Neutro
586,a reparação da conduta foi feita no mesmo dia.,Água,Positivo
587,"Sinceramente, a reparação da conduta foi feita no mesmo dia.",Água,Positivo
588,"Na minha zona, o preço da viagem foi mantido segundo o aviso oficial. Esta é a realidade no terreno.",Transportes,Neutro
589,"Em Maputo, o FIPAG respondeu rapidamente à reclamação dos moradores. Isto precisa de atenção.",Água,Positivo
590,a corrente vai e volta várias vezes no mesmo dia. Isto precisa de atenção.,Electricidade,Negativo
591,"Na minha zona, foi comunicado um trabalho de limpeza do reservatório. A população comentou bastante sobre isso.",Água,Neutro
592,"Em Maputo, o contador foi verificado pela equipa técnica. Esta é a realidade no terreno.",Electricidade,Neutro
593,"Em Maputo, a iluminação pública continua avariada e a rua está perigosa. O serviço deve ser monitorado.",Electricidade,Negativo
594,"No bairro, a água chegou cedo e com boa qualidade. Esta é a realidade no terreno.",Água,Positivo
595,"No bairro, a iluminação pública foi reparada na nossa rua.",Electricidade,Positivo
596,"Em Nampula, a água voltou com boa pressão depois da reparação. Isto precisa de atenção.",Água,Positivo
597,"Sinceramente, o abastecimento de água foi regular durante toda a semana. É importante acompanhar.",Água,Positivo
598,"No bairro, o abastecimento será interrompido durante algumas horas. O serviço deve ser monitorado.",Água,Neutro
599,"Em Maputo, os apagões constantes estão a prejudicar os nossos negócios. É importante acompanhar.",Electricidade,Negativo
600,"Na Beira, estamos satisfeitos com a melhoria no abastecimento. Esta é a realidade no terreno.",Água,Positivo
